Text,IsFake
Says the Annies List political group supports third-trimester abortions on demand.,true
When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,false
Hillary Clinton agrees with John McCain 'by voting to give George Bush the benefit of the doubt on Iran.',false
Health care reform legislation is likely to mandate free sex change surgeries.,true
The economic turnaround started at the end of my term.,false
The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,false
Jim Dunnam has not lived in the district he represents for years now.,true
"'I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.'",false
"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",false
Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,false
"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",false
"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",false
"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",true
The economy bled $24 billion due to the government shutdown.,false
Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,true
"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",false
'McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ',false
"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",true
"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",false
"Almost 100,000 people left Puerto Rico last year.",false
Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,true
The United States has the highest corporate tax rate in the free world.,false
We just had the best year for the auto industry in America in history.,false
"Says Scott Walker favors cutting up to 350,000 families and children off health care.",false
Says Mitt Romney wants to get rid of Planned Parenthood.,true
I dont know who (Jonathan Gruber) is.,true
Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,false
Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,false
"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.",true
Youth unemployment in minority communities is about 40 to 45 percent.,false
Says Paul Ryan is still endorsing Trump.,false
"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.",true
What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,true
We cut business taxes so today 70 percent of our businesses dont pay a business tax.,false
Says Mark Pryor votes with Obama 93 percent of the time.,false
We have a federal government that thinks they have the authority to regulate our toilet seats.,false
Austin is a city that has basically doubled in size every 25 years or so since it was founded.,false
"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",false
"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.",true
"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",false
Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,true
Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,false
"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company",true
Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,true
'We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ',true
African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,false
"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.",true
President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,true
It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,true
Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,false
Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,true
"Maggie Hassan raised tuition, making it the highest in America.",true
Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,true
"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",false
"We have towns in West Texas that are out of water, that are having to truck in water.",true
"In Georgia, women earn 82 cents for every dollar earned by men.",false
A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,false
"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",true
'Sen. Obama's campaign announced that he's choosing his cabinet.',true
"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.",false
Only 2 percent of public high schools in the country offer PE classes.,true
Said he's the only Republican candidate 'who's actually turned around a government economy.',false
"On military recruiters at Harvard, Elena Kagan 'took a position and the Supreme Court ruled unanimously that she was wrong.'",false
